"Pics","PicCount","MLS#","County/Incorporated City","Status","Class","PropType","Address","City","Acres #","DOM","List Ofc 1 - OfcCode","List Date","List Price","Closed Date","# Baths","# Beds","Total SQ. FT."
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/631925/0/120/90/8196f5878f1fd2c42be107d12d195790/3/b32e2ba35c02d3c69ac5a2d25bd5096f/631925.JPG","13","631925","001","SLD","RE","DETCH","2762 GELLETLY RD","CHARLOTTESVILLE","3.06","55","K67","6/23/2022","$399,500","9/14/2022","3.00","4","2,784"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633795/0/120/90/910cc1486c05bf89e021560c93b902d7/3/9793535d71a30b3a166b90a99e9ad07f/633795.JPG","67","633795","001","SLD","RE","DETCH","403 WESTMORELAND CT","CHARLOTTESVILLE","0.70","5","K48","8/17/2022","$395,000","9/26/2022","3.00","4","2,808"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632314/0/120/90/c4bf71d7dfd8a7be2e8fa6da1b13823c/3/af62b1f23ba729facd02d47b862005cb/632314.JPG","32","632314","001","SLD","RE","DETCH","3033 COLONIAL DR","CHARLOTTESVILLE","0.45","39","K10168","7/1/2022","$399,000","9/12/2022","2.00","3","2,043"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634708/0/120/90/746eac8bc0c64896af5e4cc04ed4585f/3/379eb4fe1b9a7a9fb0c7c96902eb6ed9/634708.JPG","29","634708","001","SLD","RE","DETCH","130 SPRING MOUNTAIN RD","CHARLOTTESVILLE","0.25","2","K1142","9/14/2022","$375,000","10/21/2022","2.00","3","1,336"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632200/0/120/90/97a9381dc0015a457d93eef0541eb225/3/8241a3854d119700491f3979b41c3dc7/632200.JPG","27","632200","005","SLD","RE","DETCH","1661 MERIDIAN ST","CHARLOTTESVILLE","0.23","63","K1142","6/28/2022","$415,000","10/14/2022","2.00","3","2,008"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/632833/0/120/90/959d5844a98cc503a7eae16ff8c55b03/3/465e737d27c33c3517806f8921093414/632833.JPG","34","632833","001","SLD","RE","DETCH","459 HIDDEN RIDGE RD","CHARLOTTESVILLE","0.26","45","K1142","7/18/2022","$415,000","10/14/2022","2.00","4","1,593"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633746/0/120/90/2b44eaf2a9afd357216eb46d3257b7f6/3/3368bc261e777b3e5b9279815d83ae9f/633746.JPG","31","633746","001","SLD","RE","DETCH","1121 COTTONWOOD RD","CHARLOTTESVILLE","0.14","4","K10390","8/15/2022","$400,000","9/30/2022","1.50","3","1,860"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/629578/0/120/90/ff68031bece5c903065c4fc0d53de9f2/3/4653295d8d5ddbc83ae6f211d369a7cb/629578.JPG","56","629578","001","SLD","RE","DETCH","1767 HONEYSUCKLE LN","CHARLOTTESVILLE","0.55","122","K1142","4/27/2022","$425,000","9/27/2022","2.50","3","1,991"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634396/0/120/90/832b8e02bca833e504c85b604805e930/3/c15db321387350b79b986a32c4547b5f/634396.JPG","28","634396","001","SLD","RE","DETCH","1701 ARROW WOOD DR","CHARLOTTESVILLE","0.29","3","K10151","9/3/2022","$429,000","10/6/2022","2.00","4","1,710"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633456/0/120/90/6ef33679061244f884c26b50731f9a2e/3/273a7e8bf675cf8542f672ab6ec26404/633456.JPG","28","633456","001","SLD","RE","DETCH","510 WESTMORELAND CT","CHARLOTTESVILLE","0.61","2","K80","8/5/2022","$423,000","9/7/2022","3.50","4","3,024"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/634341/0/120/90/9133b738d6cf95e53f8d7a60dffa75e9/3/9bc26693cdf17d0bc4ebaffe7b1c7a9f/634341.JPG","35","634341","001","SLD","RE","DETCH","201 HOMESTEAD LN","CHARLOTTESVILLE","0.30","5","K1083","9/1/2022","$429,000","9/30/2022","2.00","4","2,046"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/635709/0/120/90/c9b404865aab8ea7f7a8b3779d6b0710/3/4d2130262d360b482a43a36c9b0f4dad/635709.JPG","23","635709","005","SLD","RE","DETCH","604 ELLIOTT AVE","CHARLOTTESVILLE","0.14","0","K10428","10/14/2022","$425,000","11/18/2022","1.00","4","1,685"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633537/0/120/90/9a04dc4ef07b4549fa3e2355ecafacac/3/361e83022d0f4046df0f2a1a83dfae8f/633537.JPG","33","633537","005","SLD","RE","DETCH","1008 PEARTREE LN","CHARLOTTESVILLE","0.21","32","K1249","8/10/2022","$449,000","10/20/2022","2.00","4","3,098"
"//cdnparap110.paragonrels.com/ParagonImages/Property/P11/CAAR/633060/0/120/90/baa07ce0ede373dc0d16a19f07e4ead1/3/8290a001e6c3aaf3c58d36e3edc4c954/633060.JPG","14","633060","005","SLD","RE","DETCH","201 AZALEA DR","CHARLOTTESVILLE","0.21","14","K5475","7/25/2022","$435,000","9/19/2022","2.00","4","2,730"
